shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SH55_OUT,56.3956,-3.4305,1
SH55_OUT,56.3865,-3.426,2
SH55_OUT,56.375,-3.42,3
SH55_OUT,56.348,-3.405,4
SH55_OUT,56.28,-3.4,5
SH55_OUT,56.255,-3.405,6
SH55_OUT,56.227,-3.421,7
SH55_OUT,56.212,-3.425,8
SH55_OUT,56.205,-3.422,9
SH23,56.205,-3.422,1
SH23,56.185,-3.505,2
SH23,56.175,-3.515,3
SH23,56.165,-3.55,4
SH23,56.155,-3.58,5
SH23,56.162,-3.674,6
SH23,56.153,-3.742,7
SH23,56.155,-3.748,8
SH23,56.157,-3.755,9
SH23,56.155,-3.748,10
SH23,56.153,-3.742,11
SH23,56.162,-3.674,12
SH23,56.155,-3.58,13
SH23,56.165,-3.55,14
SH23,56.175,-3.515,15
SH23,56.185,-3.505,16
SH23,56.205,-3.422,17
SH55_RET,56.205,-3.422,1
SH55_RET,56.212,-3.425,2
SH55_RET,56.227,-3.421,3
SH55_RET,56.255,-3.405,4
SH55_RET,56.28,-3.4,5
SH55_RET,56.349,-3.406,6
SH55_RET,56.375,-3.42,7
SH55_RET,56.3935,-3.4315,8
SH55_RET,56.3945,-3.4325,9
SH55_RET,56.3952,-3.4318,10
SH55_RET,56.3956,-3.4305,11
