trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
55_WD_0700,07:00:00,07:00:00,glenfarg,1,0,0
55_WD_0700,07:06:00,07:06:00,cuthill,2,0,0
55_WD_0700,07:12:00,07:12:00,milnathort,3,0,0
55_WD_0700,07:15:00,07:15:00,campus,4,0,0
55_WD_0700,07:18:00,07:18:00,kinross,5,0,0
55_WD_0755,07:55:00,07:55:00,glenfarg,1,0,0
55_WD_0755,08:01:00,08:01:00,cuthill,2,0,0
55_WD_0755,08:07:00,08:07:00,milnathort,3,0,0
55_WD_0755,08:10:00,08:10:00,campus,4,0,0
55_WD_0755,08:13:00,08:13:00,kinross,5,0,0
55_WD_0855,08:55:00,08:55:00,glenfarg,1,0,0
55_WD_0855,09:01:00,09:01:00,cuthill,2,0,0
55_WD_0855,09:07:00,09:07:00,milnathort,3,0,0
55_WD_0855,09:10:00,09:10:00,campus,4,0,0
55_WD_0855,09:13:00,09:13:00,kinross,5,0,0
55_MS_930,09:30:00,09:30:00,perth_bs,1,0,0
55_MS_930,09:35:00,09:35:00,perth_edin,2,0,0
55_MS_930,09:40:00,09:40:00,perth_tesco,3,0,0
55_MS_930,09:48:00,09:48:00,boe,4,0,0
55_MS_930,10:00:00,10:00:00,glenfarg,5,0,0
55_MS_930,10:06:00,10:06:00,cuthill,6,0,0
55_MS_930,10:12:00,10:12:00,milnathort,7,0,0
55_MS_930,10:15:00,10:15:00,campus,8,0,0
55_MS_930,10:18:00,10:18:00,kinross,9,0,0
55_MS_1030,10:30:00,10:30:00,perth_bs,1,0,0
55_MS_1030,10:35:00,10:35:00,perth_edin,2,0,0
55_MS_1030,10:40:00,10:40:00,perth_tesco,3,0,0
55_MS_1030,10:48:00,10:48:00,boe,4,0,0
55_MS_1030,11:00:00,11:00:00,glenfarg,5,0,0
55_MS_1030,11:06:00,11:06:00,cuthill,6,0,0
55_MS_1030,11:12:00,11:12:00,milnathort,7,0,0
55_MS_1030,11:15:00,11:15:00,campus,8,0,0
55_MS_1030,11:18:00,11:18:00,kinross,9,0,0
55_MS_1130,11:30:00,11:30:00,perth_bs,1,0,0
55_MS_1130,11:35:00,11:35:00,perth_edin,2,0,0
55_MS_1130,11:40:00,11:40:00,perth_tesco,3,0,0
55_MS_1130,11:48:00,11:48:00,boe,4,0,0
55_MS_1130,12:00:00,12:00:00,glenfarg,5,0,0
55_MS_1130,12:06:00,12:06:00,cuthill,6,0,0
55_MS_1130,12:12:00,12:12:00,milnathort,7,0,0
55_MS_1130,12:15:00,12:15:00,campus,8,0,0
55_MS_1130,12:18:00,12:18:00,kinross,9,0,0
55_MS_1230,12:30:00,12:30:00,perth_bs,1,0,0
55_MS_1230,12:35:00,12:35:00,perth_edin,2,0,0
